github.com/AlDanial/cloc v 2.08  T=0.58 s (1210.2 files/s, 159417.6 lines/s)
--------------------------------------------------------------------------------------------------------------
File                                                                       blank        comment           code
./cpp/binaryen/src/tools/wasm-split/cmake_install.cmake                        6              5             33
./cpp/binaryen/test/gtest/cmake_install.cmake                                  6              5             33
./cpp/workerJS.js                                                              5              0             33
./inTS/tsconfig.json                                                           0              0             33
./uitest/tsconfig.json                                                         0              0             33
./web/lessons/lesson5.json                                                     0              0             33
./cpp/harnesses/harness_add_submit.cpp                                         4              0             31
./web/lessons/lesson3.json                                                     0              0             31
./web/lessons/lesson4.json                                                     0              0             31
./.github/ISSUE_TEMPLATE/-bug-.md                                              8              0             30
./cpp/harnesses/harness_bbs_run.cpp                                            8              0             30
./page3.html                                                                   3              0             30
./makesMyLifeEasier.sh                                                         2              0             26
./web/lessons/lesson1.json                                                     0              0             26
./web/lessons/lesson6.json                                                     0              0             26
./cpp/solutions/fsaIL2.cpp                                                     0              0             25
./cpp/solutions/solutionTemplates2.cpp                                         2              2             25
./cpp/binaryen/src/asmjs/cmake_install.cmake                                   5              5             24
./cpp/binaryen/src/cfg/cmake_install.cmake                                     5              5             24
./cpp/binaryen/src/emscripten-optimizer/cmake_install.cmake                    5              5             24
./cpp/binaryen/src/ir/cmake_install.cmake                                      5              5             24
./cpp/binaryen/src/passes/cmake_install.cmake                                  5              5             24
./cpp/binaryen/src/support/cmake_install.cmake                                 5              5             24
./cpp/binaryen/src/wasm/cmake_install.cmake                                    5              5             24
./cpp/binaryen/test/lit/cmake_install.cmake                                    5              5             24
./cpp/binaryen/third_party/cmake_install.cmake                                 5              5             24
./cpp/harnesses/harness_submit_fl.cpp                                          2              0             24
./TS/lessons/lesson53.json                                                     0              0             23
./asm/lessons/lesson28.json                                                    0              0             23
./cpp/demo/main.bundle.js                                                      0              1             23
./cpp/harnesses/submitTemplates3.cpp                                           2              0             23
./custom/custom.html                                                           1              0             23
./rust/wasi/debug.js                                                           0              4             23
./server.py                                                                    4              0             23
./sql/lessons/lesson12.json                                                    0              0             23
./sql/lessons/lesson13.json                                                    0              0             23
./sql/lessons/lesson14.json                                                    0              0             23
./sql/lessons/lesson15.json                                                    0              0             23
./QuantumC/lessons-qc/lesson1.json                                             0              0             22
./QuantumC/lessons-qc/lesson2.json                                             0              0             22
./QuantumC/lessons-qc/lesson4.json                                             0              0             22
./QuantumC/lessons-qc/lesson5.json                                             0              0             22
./QuantumC/lessons-qc/lesson6.json                                             0              0             22
./QuantumC/lessons-qc/lesson7.json                                             0              0             22
./QuantumC/lessons-qc/lesson8.json                                             0              0             22
./TS/lessons/lesson22.json                                                     0              0             22
./TS/lessons/lesson23.json                                                     0              0             22
./TS/lessons/lesson24.json                                                     0              0             22
./TS/lessons/lesson25.json                                                     0              0             22
./TS/lessons/lesson26.json                                                     0              0             22
./TS/lessons/lesson27.json                                                     0              0             22
./TS/lessons/lesson54.json                                                     0              0             22
./asm/lessons/lesson21.json                                                    0              0             22
./asm/lessons/lesson23.json                                                    0              0             22
./asm/lessons/lesson24.json                                                    0              0             22
./asm/lessons/lesson25.json                                                    0              0             22
./asm/lessons/lesson26.json                                                    0              0             22
./cpp/AsyncInitializable.mjs                                                   3              0             22
./cpp/harnesses/submitTemplates1.cpp                                           2              0             22
./cpp/lessons/final1.json                                                      0              0             22
./cpp/lessons/final2.json                                                      0              0             22
./cpp/lessons/lesson44.json                                                    0              0             22
./cpp/lessons/lesson49.json                                                    0              0             22
./cpp/lessons/lesson50.json                                                    0              0             22
./cpp/lessons/lesson52.json                                                    0              0             22
./cpp/lessons/lesson53.json                                                    0              0             22
./cpp/lessons/lesson54.json                                                    0              0             22
./cpp/lessons/lesson55.json                                                    0              0             22
./cpp/lessons/lesson56.json                                                    0              0             22
./cpp/lessons/lesson57.json                                                    0              0             22
./cpp/lessons/lesson58.json                                                    0              0             22
./cpp/lessons/lesson59.json                                                    0              0             22
./cpp/lessons/lesson60.json                                                    0              0             22
./cpp/lessons/lesson61.json                                                    0              0             22
./cpp/lessons/lesson62.json                                                    0              0             22
./cpp/lessons/stdlib1.json                                                     0              0             22
./cpp/lessons/stdlib2.json                                                     0              0             22
./cpp/lessons/stdlib24.json                                                    0              0             22
./cpp/lessons/stdlib25.json                                                    0              0             22
./cs/lessons/lesson10.json                                                     0              0             22
./cs/lessons/lesson11.json                                                     0              0             22
./cs/lessons/lesson12.json                                                     0              0             22
./cs/lessons/lesson13.json                                                     0              0             22
./cs/lessons/lesson14.json                                                     0              0             22
./cs/lessons/lesson7.json                                                      0              0             22
./cs/lessons/lesson8.json                                                      0              0             22
./cs/lessons/lesson9.json                                                      0              0             22
./gprog/lessons/lesson1.json                                                   0              0             22
./gprog/lessons/lesson2.json                                                   0              0             22
./gprog/lessons/lesson3.json                                                   0              0             22
./gprog/lessons/lesson4.json                                                   0              0             22
./gprog/lessons/lesson5.json                                                   0              0             22
./gprog/lessons/lesson6.json                                                   0              0             22
./gprog/lessons/lesson7.json                                                   0              0             22
./haskell/chapters.json                                                        0              0             22
./sql/lessons/lesson11.json                                                    0              0             22
./sql/lessons/lesson16.json                                                    0              0             22
./sql/lessons/lesson17.json                                                    0              0             22
./sql/lessons/lesson18.json                                                    0              0             22
./sql/lessons/lesson26.json                                                    0              0             22
./sql/lessons/lesson44.json                                                    0              0             22
./sql/lessons/lesson50.json                                                    0              0             22
./sql/lessons/lesson51.json                                                    0              0             22
./sql/lessons/lesson52.json                                                    0              0             22
./sql/lessons/lesson53.json                                                    0              0             22
./QuantumC/lessons-qc/lesson3.json                                             0              0             21
./asm/lessons/lesson16.json                                                    0              0             21
./asm/lessons/lesson17.json                                                    0              0             21
./asm/lessons/lesson19.json                                                    0              0             21
./asm/lessons/lesson20.json                                                    0              0             21
./asm/lessons/lesson34.json                                                    0              0             21
./asm/lessons/lesson35.json                                                    0              0             21
./asm/lessons/lesson36.json                                                    0              0             21
./asm/lessons/lesson37.json                                                    0              0             21
./cpp/Process.mjs                                                              4              0             21
./cpp/lessons/lesson32.json                                                    1              0             21
./cpp/lessons/lesson34.json                                                    1              0             21
./cpp/lessons/lesson35.json                                                    1              0             21
./cpp/lessons/lesson36.json                                                    1              0             21
./cpp/lessons/lesson37.json                                                    1              0             21
./cpp/lessons/lesson38.json                                                    1              0             21
./cpp/lessons/lesson39.json                                                    1              0             21
./cpp/lessons/lesson40.json                                                    0              0             21
./cpp/lessons/lesson41.json                                                    0              0             21
./cpp/lessons/lesson42.json                                                    1              0             21
./cpp/lessons/lesson43.json                                                    0              0             21
./cpp/lessons/lesson45.json                                                    0              0             21
./cpp/lessons/lesson46.json                                                    0              0             21
